Year,Total Vaccinations (per hundred),Total Deaths (per million),Aged Over 65,Poor Cardiovascular Death Rate,Diabetes Prevalence,Male Smokers,Female Smokers
2020,0.13,380.945,16.984,105.599,7.37,16.6,12.0
2020,0.14,383.156,16.984,105.599,7.37,16.6,12.0
2020,0.15,387.499,16.984,105.599,7.37,16.6,12.0
2020,0.19,390.203,16.984,105.599,7.37,16.6,12.0
2020,0.21,393.142,16.984,105.599,7.37,16.6,12.0
2020,0.25,397.198,16.984,105.599,7.37,16.6,12.0
2021,0.27,399.643,16.984,105.599,7.37,16.6,12.0
2021,0.29,403.024,16.984,105.599,7.37,16.6,12.0
2021,0.3,406.508,16.984,105.599,7.37,16.6,12.0
2021,0.36,408.667,16.984,105.599,7.37,16.6,12.0
2021,0.41,409.707,16.984,105.599,7.37,16.6,12.0
2021,0.48,415.09,16.984,105.599,7.37,16.6,12.0
2021,0.58,419.147,16.984,105.599,7.37,16.6,12.0
2021,0.69,422.683,16.984,105.599,7.37,16.6,12.0
2021,0.78,428.118,16.984,105.599,7.37,16.6,12.0
2021,0.84,431.421,16.984,105.599,7.37,16.6,12.0
2021,0.94,434.958,16.984,105.599,7.37,16.6,12.0
2021,1.02,438.156,16.984,105.599,7.37,16.6,12.0
2021,1.1,441.173,16.984,105.599,7.37,16.6,12.0
2021,1.21,444.969,16.984,105.599,7.37,16.6,12.0
2021,1.34,448.844,16.984,105.599,7.37,16.6,12.0
2021,1.44,452.849,16.984,105.599,7.37,16.6,12.0
2021,1.51,457.842,16.984,105.599,7.37,16.6,12.0
2021,1.62,461.795,16.984,105.599,7.37,16.6,12.0
2021,1.72,465.877,16.984,105.599,7.37,16.6,12.0
2021,1.84,467.958,16.984,105.599,7.37,16.6,12.0
2021,1.95,471.702,16.984,105.599,7.37,16.6,12.0
2021,2.05,476.773,16.984,105.599,7.37,16.6,12.0
2021,2.12,480.856,16.984,105.599,7.37,16.6,12.0
2021,2.16,486.213,16.984,105.599,7.37,16.6,12.0
