Year,Total Vaccinations (per hundred),Total Deaths (per million),Hospitalized Patients (per million),ICU Patients (per million),Positive Rate
2020,,262.259,34.404,5.955,0.0337
2020,,263.351,35.081,6.111,0.0373
2020,,264.027,35.211,6.553,0.0372
2020,,265.874,36.173,6.293,0.0393
2020,,267.356,36.017,6.605,0.0413
2020,,268.526,36.277,6.735,0.0442
2020,,269.931,38.721,7.047,0.0464
2020,,271.335,39.735,7.255,0.0492
2020,,272.141,42.206,7.801,0.0485
2020,,273.233,43.506,8.322,0.0499
2020,,275.002,45.457,8.66,0.0511
2020,,276.38,46.055,8.894,0.0507
2020,,278.538,46.861,9.44,0.0509
2020,,280.099,47.719,9.804,0.0504
2020,,281.711,50.293,10.454,0.0507
2020,,283.323,51.49,10.48,0.0498
2020,,285.221,51.828,11.0,0.0505
2020,,286.704,50.944,10.896,0.0498
2020,,289.252,52.114,10.922,0.0495
2020,,291.307,53.778,10.974,0.0493
2020,,293.101,54.714,11.52,0.0491
2020,,294.973,57.497,11.702,0.0497
2020,,296.196,58.641,11.728,0.0502
2020,,297.834,59.473,11.494,0.051
2020,,300.33,63.686,11.832,0.0517
2020,,302.723,65.012,12.092,0.0522
2020,,304.985,66.13,12.222,0.0521
2020,,307.43,67.561,12.664,0.0523
2020,,309.848,70.629,13.497,0.0525
2020,,311.746,72.242,13.653,0.0525
2020,,313.437,73.594,14.147,0.0527
2020,,315.543,75.518,14.459,0.0524
2020,,318.508,77.104,14.459,0.053
2020,,320.64,78.717,14.615,0.0536
2020,,322.929,81.421,14.901,0.0542
2020,,325.763,83.06,15.317,0.0538
2020,,327.973,82.669,15.655,0.054
2020,,330.132,81.421,15.759,0.0537
2020,,332.446,83.944,16.799,0.0536
2020,,335.463,83.398,16.903,0.0533
2020,,338.687,84.152,17.137,0.0527
2020,,342.38,86.934,16.929,0.0518
2020,0.0,345.657,90.627,17.137,0.0529
2020,0.0,348.101,89.665,17.709,0.0521
2020,0.01,350.156,90.185,18.125,0.0527
2020,0.02,352.86,90.341,18.099,0.0532
2020,0.03,356.475,89.899,18.281,0.0533
2020,0.03,359.491,91.147,18.359,0.0531
